sample-id	Description 	DietTreatment
Pen1	Cecal 	WHITE 
Pen1.1	Cecal 	WHITE 
Pen6	Cecal 	WHITE 
Pen6.1	Cecal 	WHITE 
Pen8	Cecal 	WHITE 
Pen8.1	Cecal 	WHITE 
Pen10	Cecal 	WHITE 
Pen10.1	Cecal 	WHITE 
Pen15	Cecal 	WHITE 
Pen15.1	Cecal 	WHITE 
Pen17	Cecal 	WHITE 
Pen17.1	Cecal 	WHITE 
Pen2	Cecal 	YELLOW 
Pen2.1	Cecal 	YELLOW 
Pen9	Cecal 	YELLOW 
Pen9.1	Cecal 	YELLOW 
Pen11	Cecal 	YELLOW 
Pen11.1	Cecal 	YELLOW 
Pen13	Cecal 	YELLOW 
Pen13.1	Cecal 	YELLOW 
Pen18	Cecal 	YELLOW 
Pen18.1	Cecal 	YELLOW 
Pen3	Cecal 	ORANGE 
Pen3.1	Cecal 	ORANGE 
Pen5	Cecal 	ORANGE 
Pen5.1	Cecal 	ORANGE 
Pen7	Cecal 	ORANGE 
Pen7.1	Cecal 	ORANGE 
Pen12	Cecal 	ORANGE 
Pen12.1	Cecal 	ORANGE 
Pen14	Cecal 	ORANGE 
Pen16	Cecal 	ORANGE 
