sample-id	BarcodeSequence	LinkerPrimerSequence	Description 	Plate	Cage	DietTreatment
Sample-00199			Cecal 	PLATE 3	Pen1	WHITE 
Sample-00200			Cecal 	PLATE 3	Pen1	WHITE 
Sample-00201			Cecal 	PLATE 3	Pen1	WHITE 
Sample-00202			Cecal 	PLATE 3	Pen1.1	WHITE 
Sample-00203			Cecal 	PLATE 3	Pen6	WHITE 
Sample-00204			Cecal 	PLATE 3	Pen6	WHITE 
Sample-00205			Cecal 	PLATE 3	Pen6	WHITE 
Sample-00206			Cecal 	PLATE 3	Pen6.1	WHITE 
Sample-00207			Cecal 	PLATE 3	Pen8	WHITE 
Sample-00208			Cecal 	PLATE 3	Pen8	WHITE 
Sample-00209			Cecal 	PLATE 3	Pen8	WHITE 
Sample-00210			Cecal 	PLATE 3	Pen8.1	WHITE 
Sample-00211			Cecal 	PLATE 3	Pen10	WHITE 
Sample-00212			Cecal 	PLATE 3	Pen10	WHITE 
Sample-00213			Cecal 	PLATE 3	Pen10	WHITE 	
Sample-00214			Cecal 	PLATE 3	Pen10.1	WHITE 
Sample-00215			Cecal 	PLATE 3	Pen15	WHITE 
Sample-00216			Cecal 	PLATE 3	Pen15	WHITE 
Sample-00217			Cecal 	PLATE 3	Pen15	WHITE 
Sample-00218			Cecal 	PLATE 3	Pen15.1	WHITE 
Sample-00219			Cecal 	PLATE 3	Pen17	WHITE 
Sample-00220			Cecal 	PLATE 3	Pen17	WHITE 
Sample-00221			Cecal 	PLATE 3	Pen17	WHITE 
Sample-00222			Cecal 	PLATE 3	Pen17.1	WHITE 
Sample-00223			Cecal 	PLATE 3	Pen2	YELLOW 
Sample-00224			Cecal 	PLATE 3	Pen2	YELLOW 
Sample-00225			Cecal 	PLATE 3	Pen2	YELLOW 
##Sample-00226			Cecal 	PLATE 3	Pen2.1	YELLOW 
##Sample-00227			Cecal 	PLATE 3	Pen4	YELLOW 
##Sample-00228			Cecal 	PLATE 3	Pen4	YELLOW 
##Sample-00229			Cecal 	PLATE 3	Pen4	YELLOW 
##Sample-00230			Cecal 	PLATE 3	Pen4.1	YELLOW 
Sample-00231			Cecal 	PLATE 3	Pen9	YELLOW 
Sample-00232			Cecal 	PLATE 3	Pen9	YELLOW 
Sample-00233			Cecal 	PLATE 3	Pen9	YELLOW 
Sample-00234			Cecal 	PLATE 3	Pen9.1	YELLOW 
Sample-00235			Cecal 	PLATE 3	Pen11	YELLOW 
Sample-00236			Cecal 	PLATE 3	Pen11	YELLOW 
Sample-00237			Cecal 	PLATE 3	Pen11	YELLOW 
Sample-00238			Cecal 	PLATE 3	Pen11.1	YELLOW 
Sample-00239			Cecal 	PLATE 3	Pen13	YELLOW 
Sample-00240			Cecal 	PLATE 3	Pen13	YELLOW 
Sample-00241			Cecal 	PLATE 3	Pen13	YELLOW 
Sample-00242			Cecal 	PLATE 3	Pen13.1	YELLOW 
Sample-00243			Cecal 	PLATE 3	Pen18	YELLOW 
Sample-00244			Cecal 	PLATE 3	Pen18	YELLOW 
Sample-00245			Cecal 	PLATE 3	Pen18	YELLOW 
Sample-00246			Cecal 	PLATE 3	Pen18.1	YELLOW 
Sample-00247			Cecal 	PLATE 3	Pen3	ORANGE 
Sample-00248			Cecal 	PLATE 3	Pen3	ORANGE 
Sample-00249			Cecal 	PLATE 3	Pen3	ORANGE 
Sample-00250			Cecal 	PLATE 3	Pen3.1	ORANGE 
Sample-00251			Cecal 	PLATE 3	Pen5	ORANGE 
Sample-00252			Cecal 	PLATE 3	Pen5	ORANGE 
Sample-00253			Cecal 	PLATE 3	Pen5	ORANGE 
Sample-00254			Cecal 	PLATE 3	Pen5.1	ORANGE 
Sample-00255			Cecal 	PLATE 3	Pen7	ORANGE 
Sample-00256			Cecal 	PLATE 3	Pen7	ORANGE
Sample-00257			Cecal 	PLATE 3	Pen7	ORANGE 
Sample-00258			Cecal 	PLATE 3	Pen7.1	ORANGE 
Sample-00259			Cecal 	PLATE 3	Pen12	ORANGE 
Sample-00260			Cecal 	PLATE 3	Pen12	ORANGE 
Sample-00261			Cecal 	PLATE 3	Pen12	ORANGE 
Sample-00262			Cecal 	PLATE 3	Pen12.1	ORANGE 
Sample-00263			Cecal 	PLATE 3	Pen14	ORANGE 
Sample-00264			Cecal 	PLATE 3	Pen14	ORANGE 
Sample-00265			Cecal 	PLATE 3	Pen14	ORANGE 
##Sample-00266			Cecal 	PLATE 3	Pen14	ORANGE 
##Sample-00267			Cecal 	PLATE 3	Pen16	ORANGE 
##Sample-00268			Cecal 	PLATE 3	Pen16	ORANGE 
Sample-00269			Cecal 	PLATE 3	Pen16	ORANGE 
Sample-00270			Cecal 	PLATE 3	Pen16	ORANGE 
