sample-id	BarcodeSequence	LinkerPrimerSequence	Description 	Plate	Cage	DietTreatment
Sample-00199	a		Cecal 	PLATE 3	1	WHITE 
Sample-00200	b		Cecal 	PLATE 3	1	WHITE 
Sample-00201	c		Cecal 	PLATE 3	1	WHITE 
Sample-00202	d		Cecal 	PLATE 3	1	WHITE 
Sample-00203	e		Cecal 	PLATE 3	6	WHITE 
Sample-00204	f		Cecal 	PLATE 3	6	WHITE 
Sample-00205	g		Cecal 	PLATE 3	6	WHITE 
Sample-00206	h		Cecal 	PLATE 3	6	WHITE 
Sample-00207	i		Cecal 	PLATE 3	8	WHITE 
Sample-00208	j		Cecal 	PLATE 3	8	WHITE 
Sample-00209	k		Cecal 	PLATE 3	8	WHITE 
Sample-00210	l		Cecal 	PLATE 3	8	WHITE 
Sample-00211	m		Cecal 	PLATE 3	10	WHITE 
Sample-00212	n		Cecal 	PLATE 3	10	WHITE 
Sample-00213	o		Cecal 	PLATE 3	10	WHITE 
Sample-00214	p		Cecal 	PLATE 3	10	WHITE 
Sample-00215	q		Cecal 	PLATE 3	15	WHITE 
Sample-00216	r		Cecal 	PLATE 3	15	WHITE 
Sample-00217	s		Cecal 	PLATE 3	15	WHITE 
Sample-00218	t		Cecal 	PLATE 3	15	WHITE 
Sample-00219	u		Cecal 	PLATE 3	17	WHITE 
Sample-00220	v		Cecal 	PLATE 3	17	WHITE 
Sample-00221	w		Cecal 	PLATE 3	17	WHITE 
Sample-00222	x		Cecal 	PLATE 3	17	WHITE 
Sample-00223	y		Cecal 	PLATE 3	2	YELLOW 
Sample-00224	z		Cecal 	PLATE 3	2	YELLOW 
Sample-00225	aa		Cecal 	PLATE 3	2	YELLOW 
Sample-00226	bb		Cecal 	PLATE 3	2	YELLOW 
Sample-00227	cc		Cecal 	PLATE 3	4	YELLOW 
Sample-00228	dd		Cecal 	PLATE 3	4	YELLOW 
Sample-00229	ee		Cecal 	PLATE 3	4	YELLOW 
Sample-00230	ff		Cecal 	PLATE 3	4	YELLOW 
Sample-00231	gg		Cecal 	PLATE 3	9	YELLOW 
Sample-00232	hh		Cecal 	PLATE 3	9	YELLOW 
Sample-00233	ii		Cecal 	PLATE 3	9	YELLOW 
Sample-00234	jj		Cecal 	PLATE 3	9	YELLOW 
Sample-00235	kk		Cecal 	PLATE 3	11	YELLOW 
Sample-00236	ll		Cecal 	PLATE 3	11	YELLOW 
Sample-00237	mm		Cecal 	PLATE 3	11	YELLOW 
Sample-00238	nn		Cecal 	PLATE 3	11	YELLOW 
Sample-00239	oo		Cecal 	PLATE 3	13	YELLOW 
Sample-00240	pp		Cecal 	PLATE 3	13	YELLOW 
Sample-00241	qq		Cecal 	PLATE 3	13	YELLOW 
Sample-00242	rr		Cecal 	PLATE 3	13	YELLOW 
Sample-00243	ss		Cecal 	PLATE 3	18	YELLOW 
Sample-00244	tt		Cecal 	PLATE 3	18	YELLOW 
Sample-00245	uu		Cecal 	PLATE 3	18	YELLOW 
Sample-00246	vv		Cecal 	PLATE 3	18	YELLOW 
Sample-00247	ww		Cecal 	PLATE 3	3	ORANGE 
Sample-00248	xx		Cecal 	PLATE 3	3	ORANGE 
Sample-00249	yy		Cecal 	PLATE 3	3	ORANGE 
Sample-00250	zz		Cecal 	PLATE 3	3	ORANGE 
Sample-00251	ab		Cecal 	PLATE 3	5	ORANGE 
Sample-00252	ac		Cecal 	PLATE 3	5	ORANGE 
Sample-00253	ad		Cecal 	PLATE 3	5	ORANGE 
Sample-00254	ae		Cecal 	PLATE 3	5	ORANGE 
Sample-00255	af		Cecal 	PLATE 3	7	ORANGE 
Sample-00256	ag		Cecal 	PLATE 3	7	ORANGE 
Sample-00257	ah		Cecal 	PLATE 3	7	ORANGE 
Sample-00258	ai		Cecal 	PLATE 3	7	ORANGE 
Sample-00259	aj		Cecal 	PLATE 3	12	ORANGE 
Sample-00260	ak		Cecal 	PLATE 3	12	ORANGE 
Sample-00261	al		Cecal 	PLATE 3	12	ORANGE 
Sample-00262	am		Cecal 	PLATE 3	12	ORANGE 
Sample-00263	an		Cecal 	PLATE 3	14	ORANGE 
Sample-00264	ao		Cecal 	PLATE 3	14	ORANGE 
Sample-00265	ap		Cecal 	PLATE 3	14	ORANGE 
Sample-00266	aq		Cecal 	PLATE 3	14	ORANGE 
Sample-00267	ar		Cecal 	PLATE 3	16	ORANGE 
Sample-00268	as		Cecal 	PLATE 3	16	ORANGE 
Sample-00269	at		Cecal 	PLATE 3	16	ORANGE 
Sample-00270	au		Cecal 	PLATE 3	16	ORANGE
